dimension,subgroup,n,prevalence,auroc,auprc,brier,f1,sensitivity,specificity,ppv,npv,fpr
gender,F,17744,0.1588,0.8552,0.5933,0.1292,0.5454,0.7174,0.8276,0.4399,0.9395,0.1724
gender,M,15774,0.2391,0.8553,0.6967,0.1631,0.6091,0.8088,0.7339,0.4885,0.9243,0.2661
race,AMERICAN INDIAN/ALASKA NATIVE,80,0.225,0.8692,0.7721,0.1373,0.5778,0.7222,0.7742,0.4815,0.9057,0.2258
race,ASIAN,660,0.1227,0.8338,0.399,0.1241,0.4537,0.6049,0.8515,0.363,0.939,0.1485
race,ASIAN - ASIAN INDIAN,105,0.1714,0.7861,0.5354,0.1333,0.5128,0.5556,0.8736,0.4762,0.9048,0.1264
race,ASIAN - CHINESE,509,0.1002,0.8578,0.4064,0.1168,0.4938,0.7843,0.845,0.3604,0.9724,0.155
race,ASIAN - KOREAN,57,0.1404,0.6505,0.4366,0.1218,0.3077,0.25,0.9388,0.4,0.8846,0.0612
race,ASIAN - SOUTH EAST ASIAN,125,0.184,0.8272,0.5439,0.1419,0.5455,0.6522,0.8333,0.4688,0.914,0.1667
race,BLACK/AFRICAN,211,0.0711,0.7985,0.4395,0.1316,0.2985,0.6667,0.7857,0.1923,0.9686,0.2143
race,BLACK/AFRICAN AMERICAN,3542,0.0982,0.8051,0.3517,0.1111,0.3634,0.4569,0.8848,0.3017,0.9373,0.1152
race,BLACK/CAPE VERDEAN,353,0.0907,0.8397,0.4794,0.0929,0.4103,0.5,0.9065,0.3478,0.9479,0.0935
race,BLACK/CARIBBEAN ISLAND,191,0.1675,0.9138,0.6749,0.1264,0.6022,0.875,0.7925,0.459,0.9692,0.2075
race,HISPANIC OR LATINO,604,0.0778,0.8009,0.385,0.0988,0.3784,0.4468,0.9228,0.3281,0.9519,0.0772
race,HISPANIC/LATINO - COLUMBIAN,40,0.1,0.7083,0.572,0.1139,0.4444,0.5,0.9167,0.4,0.9429,0.0833
race,HISPANIC/LATINO - CUBAN,33,0.1212,0.8621,0.5875,0.2022,0.3333,0.75,0.6207,0.2143,0.9474,0.3793
race,HISPANIC/LATINO - DOMINICAN,344,0.1192,0.7478,0.411,0.1459,0.3529,0.5122,0.8119,0.2692,0.9248,0.1881
race,HISPANIC/LATINO - GUATEMALAN,103,0.1553,0.7284,0.4949,0.1443,0.3529,0.375,0.8621,0.3333,0.8824,0.1379
race,HISPANIC/LATINO - HONDURAN,31,0.1613,0.9154,0.6587,0.1192,0.7143,1.0,0.8462,0.5556,1.0,0.1538
race,HISPANIC/LATINO - MEXICAN,66,0.0758,0.5869,0.1071,0.1588,0.0,0.0,0.7541,0.0,0.902,0.2459
race,HISPANIC/LATINO - PUERTO RICAN,453,0.1192,0.8411,0.4923,0.1178,0.4967,0.7037,0.8471,0.3838,0.9548,0.1529
race,HISPANIC/LATINO - SALVADORAN,74,0.1892,0.8607,0.6119,0.1298,0.5882,0.7143,0.8333,0.5,0.9259,0.1667
race,MULTIPLE RACE/ETHNICITY,45,0.0889,0.6159,0.1391,0.1227,0.0,0.0,0.9024,0.0,0.9024,0.0976
race,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER,41,0.3171,0.9505,0.9206,0.1293,0.75,0.9231,0.75,0.6316,0.9545,0.25
race,OTHER,1440,0.1694,0.8288,0.5293,0.1478,0.512,0.7008,0.7885,0.4033,0.9281,0.2115
race,PATIENT DECLINED TO ANSWER,229,0.2489,0.8588,0.7036,0.1619,0.6104,0.8246,0.7093,0.4845,0.9242,0.2907
race,PORTUGUESE,88,0.2614,0.8756,0.6976,0.146,0.6441,0.8261,0.7385,0.5278,0.9231,0.2615
race,SOUTH AMERICAN,53,0.1132,0.8511,0.555,0.1041,0.4286,0.5,0.8936,0.375,0.9333,0.1064
race,UNABLE TO OBTAIN,424,0.5802,0.8777,0.8895,0.157,0.8463,0.9512,0.5899,0.7622,0.8974,0.4101
race,UNKNOWN,1710,0.6105,0.8822,0.9071,0.1504,0.8505,0.9511,0.5526,0.7692,0.8783,0.4474
race,WHITE,20713,0.1896,0.8373,0.5796,0.155,0.55,0.762,0.764,0.4303,0.932,0.236
race,WHITE - BRAZILIAN,91,0.1319,0.8122,0.3616,0.1244,0.4,0.5,0.8481,0.3333,0.9178,0.1519
race,WHITE - EASTERN EUROPEAN,110,0.1545,0.7875,0.4387,0.1685,0.4444,0.7059,0.7312,0.3243,0.9315,0.2688
race,WHITE - OTHER EUROPEAN,726,0.2025,0.8582,0.6903,0.1424,0.5995,0.7891,0.7858,0.4833,0.9362,0.2142
race,WHITE - RUSSIAN,244,0.1189,0.7667,0.4975,0.135,0.382,0.5862,0.8,0.2833,0.9348,0.2
insurance,Medicaid,5802,0.1668,0.8338,0.5756,0.1415,0.5153,0.687,0.8039,0.4123,0.9277,0.1961
insurance,Medicare,12244,0.2667,0.8578,0.712,0.1679,0.6468,0.8453,0.7206,0.5238,0.9276,0.2794
insurance,No charge,40,0.025,0.4872,0.0476,0.0501,0.0,0.0,0.9744,0.0,0.9744,0.0256
insurance,Other,1094,0.1782,0.8521,0.5902,0.1495,0.5189,0.7744,0.7375,0.3902,0.9378,0.2625
insurance,Private,14338,0.1506,0.8496,0.5918,0.1272,0.5221,0.6925,0.8298,0.419,0.9383,0.1702
marital_status,DIVORCED,2038,0.2139,0.837,0.6145,0.1632,0.5604,0.8028,0.711,0.4305,0.9298,0.289
marital_status,MARRIED,15898,0.2384,0.8739,0.7249,0.1514,0.6301,0.8282,0.7494,0.5085,0.9331,0.2506
marital_status,SINGLE,12645,0.1362,0.8208,0.4925,0.1301,0.4733,0.615,0.8449,0.3847,0.933,0.1551
marital_status,WIDOWED,2937,0.2179,0.843,0.616,0.1638,0.6015,0.8172,0.7492,0.4759,0.9363,0.2508
race_grouped,ASIAN,1456,0.1243,0.829,0.4237,0.1237,0.4784,0.6409,0.8525,0.3816,0.9436,0.1475
race_grouped,BLACK,4297,0.0994,0.8142,0.382,0.1113,0.3827,0.4988,0.8778,0.3105,0.9407,0.1222
race_grouped,HISPANIC/LATINO,1824,0.1086,0.7985,0.417,0.1218,0.4105,0.5505,0.8622,0.3273,0.9403,0.1378
race_grouped,OTHER/UNKNOWN,3969,0.4097,0.9022,0.8603,0.15,0.7747,0.9041,0.7017,0.6777,0.9133,0.2983
race_grouped,WHITE,21972,0.1891,0.8377,0.583,0.1543,0.55,0.7611,0.7652,0.4306,0.9321,0.2348
